id,no,brand,weight,width,height
1,1,box1,75,52,49
2,2,box1,74,53,47
3,3,box1,83,54,53
4,4,box1,78,54,51
5,5,box1,67,52,46
6,6,box1,71,52,48
7,7,box1,77,51,48
8,8,box1,69,51,51
9,9,box1,83,51,51
10,10,box1,61,51,41
11,11,box1,71,49,50
12,12,box1,74,52,49
13,13,box1,81,54,52
14,14,box1,63,50,50
15,15,box1,65,50,44
16,16,box1,61,50,50
17,17,box1,79,52,52
18,18,box1,74,51,50
19,19,box1,74,52,49
20,20,box1,71,51,50
21,21,box1,65,49,45
22,22,box1,78,54,50
23,23,box1,69,52,49
24,24,box1,70,52,51
25,25,box1,70,52,52
26,26,box1,69,50,50
27,27,box1,69,51,42
28,28,box1,70,53,50
29,29,box1,69,49,44
30,30,box1,69,52,51
31,31,box1,70,51,55
32,1,box2,104,43,41
33,2,box2,99,59,50
34,3,box2,90,58,48
35,4,box2,116,61,56
36,5,box2,110,59,57
37,6,box2,96,57,56
38,7,box2,102,56,60
39,8,box2,88,59,52
40,9,box2,101,58,53
41,10,box2,123,58,59
42,11,box2,122,60,61
43,12,box2,97,60,49
44,13,box2,101,55,53
45,14,box2,87,55,50
46,15,box2,100,59,52
47,16,box2,120,62,57
48,17,box2,96,58,54
49,18,box2,100,60,47
50,19,box2,96,58,54
51,20,box2,106,57,57
52,21,box2,84,56,47
53,22,box2,90,58,56
